...1,Congressional Candidate Table 2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14
Candidate ID,State,Candidate,Party,"Incumbent/
Challenger/Open","Two-Year
Period",Receipts,"Contributions
From Individuals",Contributions from PACs and Other Committees,"Contributions/Loans
From the Candidate",Transfers,Disbursements,Cash on Hand,Debts Owed
NA,South Carolina,"THURMOND, STROM",Republican Party,Incumbent,1986,36370,0,12130,0,0,350926,50130,0
NA,South Carolina,"THURMOND, STROM",Republican Party,Incumbent,1988,93675,25670,58430,0,0,83121,60683,0
NA,South Carolina,"THURMOND, STROM",Republican Party,Incumbent,1990,2060062,1352044,557695,0,76011,1916692,221092,0
NA,South Dakota,"MUENSTER, THEODORE R",Democratic Party,Challenger,1990,1335356,812413,492661,0,0,1323770,11586,15914
NA,South Dakota,"PRESSLER, LARRY",Republican Party,Incumbent,1986,83185,0,16250,0,0,178334,230291,0
NA,South Dakota,"PRESSLER, LARRY",Republican Party,Incumbent,1988,302331,155292,95250,0,0,294175,238225,0
NA,South Dakota,"PRESSLER, LARRY",Republican Party,Incumbent,1990,1982702,876549,861339,0,132628,1664341,556585,0
NA,Tennessee,"BROWN, RALPH",Unknown,Challenger,1990,110,0,0,90,0,325,0,0
NA,Tennessee,"GORE, ALBERT JR",Democratic Party,Incumbent,1986,248533,0,116323,0,0,177014,69611,0
NA,Tennessee,"GORE, ALBERT JR",Democratic Party,Incumbent,1988,161878,40513,107750,0,0,134439,97049,0
NA,Tennessee,"GORE, ALBERT JR",Democratic Party,Incumbent,1990,2248915,1189705,931438,0,31000,1637919,708043,0
NA,Tennessee,"HAWKINS, WILLIAM R",Republican Party,Challenger,1990,13510,7210,0,1000,0,12544,0,0
NA,Texas,"GRAMM, WILLIAM PHILIP",Republican Party,Incumbent,1986,1176265,0,84828,0,0,1248729,281462,0
NA,Texas,"GRAMM, WILLIAM PHILIP",Republican Party,Incumbent,1988,3465699,2921478,306228,0,19437,1427054,2320105,0
NA,Texas,"GRAMM, WILLIAM PHILIP",Republican Party,Incumbent,1990,11626377,9081419,1426839,0,155879,9799104,4147378,0
NA,Texas,"PARMER, HUGH QUAY",Democratic Party,Challenger,1990,1767574,947452,263762,129898,87475,1767311,264,103814
NA,Texas,"SCHLANGER, HARLEY CLAUDE",Democratic Party,Challenger,1990,10984,9484,0,1500,0,10776,0,0
NA,Virginia,"SPANNAUS, NANCY B",Democratic Party,Challenger,1990,134245,122515,570,100,0,133260,982,12176
NA,Virginia,"WARNER, JOHN WILLIAM III",Republican Party,Incumbent,1986,52411,0,3759,0,40392,30738,21672,0
NA,Virginia,"WARNER, JOHN WILLIAM III",Republican Party,Incumbent,1986,47406,0,0,0,47406,47406,0,400000
NA,Virginia,"WARNER, JOHN WILLIAM III",Republican Party,Incumbent,1988,58226,6386,2921,0,46995,56136,23762,0
NA,Virginia,"WARNER, JOHN WILLIAM III",Republican Party,Incumbent,1990,1753957,823167,621899,0,235951,1155530,622138,400000
NA,Virginia,"YATROFSKY, MARK",Unknown,Challenger,1990,1724,724,0,1000,0,1138,584,1000
NA,West Virginia,"ROCKEFELLER, JOHN D IV",Democratic Party,Incumbent,1988,94022,38418,46666,0,8937,20665,73356,0
NA,West Virginia,"ROCKEFELLER, JOHN D IV",Democratic Party,Incumbent,1990,3479161,1944222,1425405,0,0,2650320,902198,0
NA,West Virginia,"YODER, JOHN CHRISTIAN",Republican Party,Challenger,1990,33239,13267,0,7312,0,33059,178,10238
NA,Wyoming,"CROOK, DOUGLAS WILLIAM",Republican Party,Challenger,1990,618,250,0,368,0,616,0,0
NA,Wyoming,"HELLING, MARY KATHERYN (KATHY)",Democratic Party,Challenger,1990,6431,2889,2500,1000,0,6243,187,0
NA,Wyoming,"SIMPSON, ALAN K",Republican Party,Incumbent,1986,122897,0,11250,0,0,174267,154246,65300
NA,Wyoming,"SIMPSON, ALAN K",Republican Party,Incumbent,1988,294383,128067,84700,22000,28345,268569,180059,1495
NA,Wyoming,"SIMPSON, ALAN K",Republican Party,Incumbent,1990,1069344,354256,577308,0,77471,766737,433246,7918
